"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"032303304","03","23","033","04","P","R","1","1","0","B",""
"032303305","03","23","033","05","P","R","1","1","0","B",""
"030401200","03","04","012","00","P","K","1","2","0","C","150.0"
"032304005","03","23","040","05","P","R","1","1","0","B",""
"032306605","03","23","066","05","P","R","1","0","1","B",""
"032606000","03","26","060","00","P","K","1","0","1","A",""
"032603602","03","26","036","02","P","R","1","1","0","A",""
"031804500","03","18","045","00","P","DK","1","1","0","C",""
"032905406","03","29","054","06","P","R","1","0","1","A",""
"031706900","03","17","069","00","P","DK","1","1","0","C",""
"032501402","03","25","014","02","P","R","1","1","0","A",""
"034800804","03","48","008","04","P","R","1","0","1","A","150.0"
"030804100","03","08","041","00","P","DK","1","0","1","B",""
"032503804","03","25","038","04","P","R","1","0","1","A",""
"032505402","03","25","054","02","P","R","1","1","0","A",""
"032507202","03","25","072","02","P","R","1","1","0","A",""
"031003900","03","10","039","00","P","DK","1","0","1","B",""
"032606100","03","26","061","00","P","K","1","1","0","A",""
"032607002","03","26","070","02","P","R","1","1","0","A",""
"031303300","03","13","033","00","P","DK","1","1","0","C",""
"032003300","03","20","033","00","P","K","1","1","0","B","150.0"
"031906502","03","19","065","02","P","R","1","1","0","C",""
"031906901","03","19","069","01","P","R","1","1","0","C",""
"032004800","03","20","048","00","P","K","1","1","0","B","150.0"
"032507301","03","25","073","01","P","R","1","1","0","A",""
"032605200","03","26","052","00","P","K","1","1","0","A",""
"032507802","03","25","078","02","P","R","1","1","0","A","150.0"
"032507901","03","25","079","01","P","R","1","1","0","A","150.0"
"032508104","03","25","081","04","P","R","1","1","0","A","150.0"
"032508302","03","25","083","02","P","R","1","1","0","A","150.0"
"030806000","03","08","060","00","P","DK","1","2","0","A",""
"032703505","03","27","035","05","P","R","1","0","1","A",""
"032704502","03","27","045","02","P","R","1","1","0","A",""
"032704802","03","27","048","02","P","R","1","1","0","A",""
"031903505","03","19","035","05","P","R","1","1","0","C",""
"032707203","03","27","072","03","P","R","1","0","1","A",""
"030701205","03","07","012","05","P","R","1","0","1","C",""
"032708701","03","27","087","01","P","R","1","1","0","A","150.0"
"032006500","03","20","065","00","P","K","1","1","0","B","150.0"
"032803405","03","28","034","05","P","R","1","0","1","A",""
"032804503","03","28","045","03","P","R","1","1","0","A",""
"032804902","03","28","049","02","P","R","1","0","1","A",""
"032805602","03","28","056","02","P","R","1","1","0","A",""
"032805604","03","28","056","04","P","R","1","1","0","A",""
"032806802","03","28","068","02","P","R","1","1","0","A",""
"030902300","03","09","023","00","P","DK","1","0","1","B",""
"032808103","03","28","081","03","P","R","1","1","0","A","150.0"
"032900905","03","29","009","05","P","R","1","0","1","A",""
"032206400","03","22","064","00","P","K","1","1","0","B",""
"032901104","03","29","011","04","P","R","1","0","1","A",""
"032901505","03","29","015","05","P","R","1","0","1","A",""
"032007200","03","20","072","00","P","K","1","1","0","B","150.0"
"032902905","03","29","029","05","P","R","1","0","1","A",""
"032904205","03","29","042","05","P","R","1","0","1","A",""
"032904406","03","29","044","06","P","R","1","0","1","A",""
"032905506","03","29","055","06","P","R","1","0","1","A",""
"032905603","03","29","056","03","P","R","1","1","0","A",""
"032905802","03","29","058","02","P","R","1","1","0","A",""
"032905902","03","29","059","02","P","R","1","1","0","A",""
"032908103","03","29","081","03","P","R","1","0","1","A","150.0"
"032909101","03","29","091","01","P","R","1","1","0","A","150.0"
"032604800","03","26","048","00","P","K","1","1","0","A",""
"032607302","03","26","073","02","P","R","1","1","0","A",""
"034807302","03","48","073","02","P","R","1","1","0","B","150.0"
"032304100","03","23","041","00","P","K","1","1","0","B",""
"031305701","03","13","057","01","P","R","1","1","0","C",""
