PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
032904804,29,48,4,0.0,GREEN
030704800,07,48,0,200.0,RED
030704902,07,49,2,0.0,GREEN
032104500,21,45,0,100.0,RED
031000202,10,2,2,0.0,GREEN
031000303,10,3,3,0.0,GREEN
031205901,12,59,1,0.0,GREEN
031906301,19,63,1,100.0,RED
030801200,08,12,0,0.0,GREEN
031906804,19,68,4,100.0,RED
030303102,03,31,2,0.0,GREEN
030400100,04,1,0,0.0,GREEN
030503204,05,32,4,0.0,GREEN
030302000,03,20,0,200.0,RED
030302003,03,20,3,0.0,GREEN
032204000,22,40,0,100.0,RED
031906004,19,60,4,100.0,RED
032508600,25,86,0,50.0,YELLOW
032506800,25,68,0,50.0,YELLOW
031905901,19,59,1,100.0,RED
030301801,03,18,1,0.0,GREEN
030401803,04,18,3,0.0,GREEN
032802606,28,26,6,0.0,GREEN
034507100,45,71,0,0.0,GREEN
031906800,19,68,0,100.0,RED
031904901,19,49,1,100.0,RED
032700500,27,5,0,0.0,GREEN
031903400,19,34,0,100.0,RED
034505004,45,50,4,0.0,GREEN
030500800,05,8,0,0.0,GREEN
030500805,05,8,5,0.0,GREEN
032801900,28,19,0,100.0,RED
032902200,29,22,0,0.0,GREEN
031900900,19,9,0,0.0,GREEN
031901000,19,10,0,100.0,RED
030703400,07,34,0,0.0,GREEN
031905904,19,59,4,100.0,RED
031905903,19,59,3,100.0,RED
030401501,04,15,1,0.0,GREEN
031902400,19,24,0,100.0,RED
032300701,23,7,1,100.0,RED
032801500,28,15,0,0.0,GREEN
031902500,19,25,0,100.0,RED
032802300,28,23,0,100.0,RED
032703003,27,30,3,0.0,GREEN
030503200,05,32,0,200.0,RED
031903500,19,35,0,100.0,RED
032507201,25,72,1,100.0,RED
032900900,29,9,0,0.0,GREEN
031903800,19,38,0,100.0,RED
031905401,19,54,1,100.0,RED
031905803,19,58,3,100.0,RED
031003500,10,35,0,0.0,GREEN
032005601,20,56,1,100.0,RED
034506500,45,65,0,0.0,GREEN
032805901,28,59,1,100.0,RED
030902600,09,26,0,100.0,RED
031204600,12,46,0,100.0,RED
030605505,06,55,5,0.0,GREEN
030801900,08,19,0,0.0,GREEN
031005100,10,51,0,200.0,RED
031904000,19,40,0,100.0,RED
032701900,27,19,0,0.0,GREEN
032701902,27,19,2,0.0,GREEN
031304301,13,43,1,0.0,GREEN
032305904,23,59,4,100.0,RED
034506700,45,67,0,0.0,GREEN
032206600,22,66,0,100.0,RED
032005600,20,56,0,100.0,RED
030605100,06,51,0,100.0,RED
031904401,19,44,1,100.0,RED
031405301,14,53,1,0.0,GREEN
