PLATZ_ID,HALLE,REGAL,FACH,EBENE,ANZ_PICKS,CUMULATIVE_%,ABC_CALC,ABC_KLASSE,ARTIKELNR,ARTBEZ1
034602900,4610.0,46,29,0,567.0,60.34289410798377,A,A,,
034503000,4510.0,45,30,0,566.0,60.463334759044216,A,A,,
030201000,203.0,02,10,0,564.0,60.58334982476523,A,C,,
030202600,209.0,02,26,0,563.0,60.703152097816535,A,C,000000000000124940,SpannBd vNi 15m/R
034501700,4506.0,45,17,0,562.0,60.82274157819811,A,A,,
030501100,504.0,05,11,0,562.0,60.94233105857969,A,C,,
030300700,302.0,03,7,0,561.0,61.06170774629156,A,C,000000000000169020,VbdSchloss MPR S+ vz Druckfeder A2
030501300,504.0,05,13,0,561.0,61.18108443400342,A,C,,
034500700,4502.0,45,7,0,558.0,61.29982274370612,A,A,,
034500500,4502.0,45,5,0,557.0,61.41834826073912,A,A,,
034501500,4505.0,45,15,0,555.0,61.53644819243267,A,A,,
030501900,506.0,05,19,0,555.0,61.654548124126215,A,C,,
030300601,302.0,03,6,1,554.0,61.77243526315005,A,C,000000000000127207,"USchb 8,4x30x2 A4"
030301601,305.0,03,16,1,551.0,61.88968402416474,A,C,,
030401300,404.0,04,13,0,551.0,62.006932785179416,A,C,,
030202300,208.0,02,23,0,550.0,62.12396875352438,A,C,,
030402100,407.0,04,21,0,548.0,62.2405791365299,A,C,000000000000117962,SchibMu M10 38/40-40/60 A2
030502300,508.0,05,23,0,548.0,62.357189519535424,A,C,,
030501800,506.0,05,18,0,547.0,62.47358710987124,A,C,,
034502300,4508.0,45,23,0,546.0,62.589771907537326,A,A,,
030502800,509.0,05,28,0,545.0,62.7057439125337,A,C,000000000000142366,"SRS-J Egr M8/M10 70,0 vz"
030502000,507.0,05,20,0,541.0,62.8208647468512,A,C,,
034503200,4511.0,45,32,0,541.0,62.935985581168694,A,A,,
030103100,1010.0,01,31,0,540.0,63.05089362281648,A,C,000000000000170649,"RSchlaufe EHS M16 8""(DN200) vz VdS/FM"
030502400,508.0,05,24,0,538.0,63.165376079124826,A,C,000000000000165673,SchibMu MPR S+ M10 41/21-124 vz
030203400,211.0,02,34,0,537.0,63.279645742763456,A,C,,
030303300,311.0,03,33,0,534.0,63.39327702839292,A,C,000000000000151095,"TrKralle MPR M10 41/21, 41/41, 41/42 vz"
030302401,308.0,03,24,1,534.0,63.506908314022404,A,C,,
034500900,4503.0,45,9,0,533.0,63.62032680698215,A,A,,
034801800,4806.0,48,18,0,532.0,63.733532507272194,A,B,,
034502100,4507.0,45,21,0,531.0,63.84652541489251,A,A,,
034602600,4609.0,46,26,0,528.0,63.95887994450368,A,A,,
030502100,507.0,05,21,0,528.0,64.07123447411483,A,C,000000000000111183,"IsoS Typ170EX 219,1 Iso40/100"
030102200,1007.0,01,22,0,526.0,64.18316341838657,A,C,,
030201400,205.0,02,14,0,525.0,64.29487956998857,A,C,,
030301101,304.0,03,11,1,524.0,64.40638292892086,A,C,000000000000142945,DUO M8/M10 54-58 vM5 vz
030303301,311.0,03,33,1,524.0,64.51788628785316,A,C,000000000000111837,"IsoSchale TypM 42-44,5 Iso15,5-25"
034501800,4506.0,45,18,0,523.0,64.62917685411573,A,A,,
034506800,4523.0,45,68,0,521.0,64.74004183503887,A,B,,
032000600,2002.0,20,6,0,521.0,64.850906815962,A,B,,
034600700,4602.0,46,7,0,517.0,64.96092062620626,A,A,,
032001200,2004.0,20,12,0,516.0,65.07072164378081,A,B,07946600ET0001,Conversionssatz
030401400,405.0,04,14,0,515.0,65.18030986868565,A,C,,
030201100,204.0,02,11,0,515.0,65.28989809359047,A,C,000000000000121031,PBox mittel 350/300x200x150
030100700,1002.0,01,7,0,513.0,65.39906073315586,A,C,,
034601400,4605.0,46,14,0,510.0,65.5075849947121,A,A,,
030401200,404.0,04,12,0,510.0,65.61610925626835,A,C,,
030502700,509.0,05,27,0,509.0,65.72442072515486,A,C,,
034601300,4604.0,46,13,0,506.0,65.83209381603223,A,A,,
034501900,4506.0,45,19,0,505.0,65.93955411423987,A,A,,
030303001,310.0,03,30,1,503.0,66.04658882710808,A,C,000000000000174057,LS Typ C Esw M8/M10 NW80 vz
030200600,202.0,02,6,0,503.0,66.1536235399763,A,C,,
030401100,404.0,04,11,0,501.0,66.26023266750506,A,C,,
034505900,4520.0,45,59,0,499.0,66.3664162096944,A,B,,
